rfq_id,match_id,similarity_score
0777b4fd-292a-439b-848f-d772ee28c3b8,3d594a5b-ff2d-41a2-9c81-ae7a3b055f89,0.51
0777b4fd-292a-439b-848f-d772ee28c3b8,7be2d720-52c2-4f8a-a82a-2b90f535ad40,0.4
0777b4fd-292a-439b-848f-d772ee28c3b8,ddaf379f-3e20-42b5-a0a9-ad56cc4d6b5a,0.4
a0e91fd1-b00b-4ff7-8633-62657662b03b,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,8fe87807-dae8-4341-94fd-2ab91f176464,0.3
a0e91fd1-b00b-4ff7-8633-62657662b03b,63078462-b3a8-463c-8c44-301ec9d0d024,0.3
84be5122-71d5-4a35-a912-fd2911e3c64f,0f595b0b-2253-4585-a672-fda592da7191,1.0
84be5122-71d5-4a35-a912-fd2911e3c64f,b954d3d2-f2d8-4b11-955e-31c7839517f5,1.0
84be5122-71d5-4a35-a912-fd2911e3c64f,ff74c084-487f-4cdb-892d-8d62901b935d,0.85
0f595b0b-2253-4585-a672-fda592da7191,84be5122-71d5-4a35-a912-fd2911e3c64f,1.0
0f595b0b-2253-4585-a672-fda592da7191,74a8248b-ec38-4599-818c-99e90d771f7f,0.85
0f595b0b-2253-4585-a672-fda592da7191,b954d3d2-f2d8-4b11-955e-31c7839517f5,0.85
920dcf5c-136f-4ffc-9449-03f00c1b5a46,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,54439e37-9ca6-476c-825a-0304a9dfcb26,0.925
920dcf5c-136f-4ffc-9449-03f00c1b5a46,19019fb2-05f6-4267-aaf8-6fb9aff3fa83,0.8
facd942d-02a2-46bf-936c-e3afd39ee20d,178a48ef-f870-46d7-ba3c-c94b35477459,1.0
facd942d-02a2-46bf-936c-e3afd39ee20d,aad5ef88-18cc-4492-9506-09871a1b5245,1.0
facd942d-02a2-46bf-936c-e3afd39ee20d,ae16b3ef-575d-40af-b90c-ca2b5196b47e,1.0
140d30f7-f16d-4455-a448-516ab6616812,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1.0
140d30f7-f16d-4455-a448-516ab6616812,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,1.0
140d30f7-f16d-4455-a448-516ab6616812,7ab57a66-1efb-4696-8c73-19a2e7dc1081,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,facd942d-02a2-46bf-936c-e3afd39ee20d,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,aad5ef88-18cc-4492-9506-09871a1b5245,1.0
178a48ef-f870-46d7-ba3c-c94b35477459,ae16b3ef-575d-40af-b90c-ca2b5196b47e,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,140d30f7-f16d-4455-a448-516ab6616812,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,1.0
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,7ab57a66-1efb-4696-8c73-19a2e7dc1081,1.0
ca60a74b-7cdc-4098-a20c-2de916dcb66b,bed7c304-ce6c-4485-8629-574a2dbe32b3,0.85
ca60a74b-7cdc-4098-a20c-2de916dcb66b,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.4
ca60a74b-7cdc-4098-a20c-2de916dcb66b,a7674ae7-731c-46ab-94db-a7a972df8849,0.4
df6085e7-42f9-4ce3-92b0-3a7a24159a61,cea2ffdc-7e8e-4697-acc0-f477287b6fb0,0.85
df6085e7-42f9-4ce3-92b0-3a7a24159a61,29a51f3d-117e-47b4-9792-eb003831b356,0.4675
df6085e7-42f9-4ce3-92b0-3a7a24159a61,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.4
e46aa804-164c-4907-a7ca-07a99d66d1b6,804a4304-48b2-4a76-917e-91ab96f4a6e1,0.85
e46aa804-164c-4907-a7ca-07a99d66d1b6,e5c22e58-7870-4db5-98ea-aede48914170,0.4675
e46aa804-164c-4907-a7ca-07a99d66d1b6,094422ce-696c-482d-9927-c3cfbf347f7a,0.4
094422ce-696c-482d-9927-c3cfbf347f7a,92a79054-1d86-4503-b051-02cd6ae58185,0.85
094422ce-696c-482d-9927-c3cfbf347f7a,e46aa804-164c-4907-a7ca-07a99d66d1b6,0.4
094422ce-696c-482d-9927-c3cfbf347f7a,078f6ae4-4cf2-4c74-b810-157537c3a8b9,0.34
a462a4cb-bbaa-4417-b876-4b8606c6f8db,cfb6c8f9-1d55-4d81-bb01-2cead77e09e2,1.0
a462a4cb-bbaa-4417-b876-4b8606c6f8db,ca1ccf90-ef97-446d-b9ba-214844ffc371,0.85
a462a4cb-bbaa-4417-b876-4b8606c6f8db,90b02a62-3da9-4648-948c-52627d086a50,0.85
7729084d-fc2d-41d8-a8df-891da74078f1,5cef718a-460b-43ca-92f5-82151c2922b9,0.88
7729084d-fc2d-41d8-a8df-891da74078f1,69e4f43c-6d81-4549-8c6a-9ceaea217782,0.88
7729084d-fc2d-41d8-a8df-891da74078f1,de734972-0ed4-47d2-85ed-94c639524ef3,0.85
86008598-05ed-4532-8a70-e8ee8daf3796,a2045fb1-90e5-4957-91ac-a5a8b83fd081,0.88
86008598-05ed-4532-8a70-e8ee8daf3796,0543ec11-51e5-4b6e-8ff3-bd1dc271d768,0.85
86008598-05ed-4532-8a70-e8ee8daf3796,7729084d-fc2d-41d8-a8df-891da74078f1,0.76
06bf89b8-3e0b-4be9-a611-1e656cae34eb,db475b0b-e62d-4719-a502-d1effef1ed48,1.0
06bf89b8-3e0b-4be9-a611-1e656cae34eb,bb9852a6-a27a-40e6-80ab-22e210e73310,1.0
06bf89b8-3e0b-4be9-a611-1e656cae34eb,69b87316-8ff0-4eab-b9ff-210247784518,0.7
502b3359-ee17-4ecc-8046-ceb4e6559fb8,e8090359-5014-4395-ac73-620ba80f2d5b,0.88
502b3359-ee17-4ecc-8046-ceb4e6559fb8,7729084d-fc2d-41d8-a8df-891da74078f1,0.76
502b3359-ee17-4ecc-8046-ceb4e6559fb8,86008598-05ed-4532-8a70-e8ee8daf3796,0.76
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,86008598-05ed-4532-8a70-e8ee8daf3796,0.85
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,a2045fb1-90e5-4957-91ac-a5a8b83fd081,0.85
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,28b82b56-298a-4050-ad03-47dab37e4d2e,0.85
5242c623-abc6-4cc8-a1e3-dde93a899f00,63140d1f-dda8-40fe-8931-bcaba65d5772,0.665
5242c623-abc6-4cc8-a1e3-dde93a899f00,11cffc57-44be-4d79-bfd5-97482be566d3,0.665
5242c623-abc6-4cc8-a1e3-dde93a899f00,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.665
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,5cade4d0-ab67-4d1c-acf9-88a44ee18587,0.7
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.4
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,e46da0fc-64a2-40da-9482-0978978d74e7,0.4
de734972-0ed4-47d2-85ed-94c639524ef3,7729084d-fc2d-41d8-a8df-891da74078f1,0.85
de734972-0ed4-47d2-85ed-94c639524ef3,4b7c1ace-7e37-456c-994e-fca62a9b3e1f,0.85
de734972-0ed4-47d2-85ed-94c639524ef3,5cef718a-460b-43ca-92f5-82151c2922b9,0.7225
b48a1279-3852-4482-902f-203558c37a33,02c609c9-52b4-49d5-b6e8-cc14787f1822,0.85
b48a1279-3852-4482-902f-203558c37a33,3fe05d73-7de1-4c32-ad94-991ff0ad4290,0.85
b48a1279-3852-4482-902f-203558c37a33,1e8557a8-c31c-4303-9232-5cd22ef2f92d,0.55
02c609c9-52b4-49d5-b6e8-cc14787f1822,b48a1279-3852-4482-902f-203558c37a33,0.85
02c609c9-52b4-49d5-b6e8-cc14787f1822,3fe05d73-7de1-4c32-ad94-991ff0ad4290,0.85
02c609c9-52b4-49d5-b6e8-cc14787f1822,8f74902e-31d3-418c-97a4-fd437dfe9e3e,0.53125
3fe05d73-7de1-4c32-ad94-991ff0ad4290,b48a1279-3852-4482-902f-203558c37a33,0.85
3fe05d73-7de1-4c32-ad94-991ff0ad4290,02c609c9-52b4-49d5-b6e8-cc14787f1822,0.85
3fe05d73-7de1-4c32-ad94-991ff0ad4290,8f74902e-31d3-418c-97a4-fd437dfe9e3e,0.625
0e375556-7947-4dc0-a628-d1674e5d1658,82456e41-801e-4f90-9263-6c96d3e72160,0.765
0e375556-7947-4dc0-a628-d1674e5d1658,f0684d5c-1063-4ed6-b5e3-2e1067f62b82,0.475
0e375556-7947-4dc0-a628-d1674e5d1658,b47d1b17-c710-446c-b905-f911bb224867,0.475
82456e41-801e-4f90-9263-6c96d3e72160,0e375556-7947-4dc0-a628-d1674e5d1658,0.765
82456e41-801e-4f90-9263-6c96d3e72160,3231dd9d-d846-43a0-8277-87a1eb9b5277,0.3825
82456e41-801e-4f90-9263-6c96d3e72160,2ebf1a71-736a-4de4-9ed4-8e113b23e78f,0.3825
2761ad98-baa2-4022-b98c-146a32b16dec,bcbbd605-d462-499e-9e80-95c63737b99d,0.7
2761ad98-baa2-4022-b98c-146a32b16dec,c62fe981-4863-46f3-aaab-dd42c7d5f6dd,0.7
2761ad98-baa2-4022-b98c-146a32b16dec,a7674ae7-731c-46ab-94db-a7a972df8849,0.6
